1,27500000,-78
2,385000000,-68
3,770000000,-66
4,962500000,-65
5,1155000000,-64
6,1251250000,-62
7,1540000000,-63
8,1925000000,-62
9,2310000000,-61
10,2502500000,-59
11,3080000000,-55
12,3850000000,-54
13,4620000000,-53
14,693000000,-66
15,866250000,-64
16,1386000000,-63
17,1732500000,-62
18,2079000000,-60
19,2772000000,-58
20,3465000000,-56
21,4158000000,-54
22,4504500000,-53
23,5197500000,-51
24,6237000000,-49
25,6756750000,-47
26,626000000,-64
27,834000000,-60
28,1112000000,-57
29,1251000000,-57
30,1668000000,-57
31,2224000000,-57
32,2503000000,-57
