dir,snr,rx_f28,rx_f60,rx_f73
0,34.6262352941177,-39.3737647058823,-39.3737647058823,-39.3737647058823
0.746,34.0578947368421,-39.9421052631579,-39.9421052631579,-39.9421052631579
1.491,33.4625,-40.5375,-40.5375,-40.5375
2.237,34.5324390243903,-39.4675609756097,-39.4675609756097,-39.4675609756097
2.983,34.193,-39.807,-39.807,-39.807
3.729,35.2601204819277,-38.7398795180723,-38.7398795180723,-38.7398795180723
4.474,35.397108433735,-38.602891566265,-38.602891566265,-38.602891566265
5.22,34.8203614457832,-39.1796385542168,-39.1796385542168,-39.1796385542168
5.966,33.8409756097561,-40.1590243902439,-40.1590243902439,-40.1590243902439
6.711,35.82875,-38.17125,-38.17125,-38.17125
7.457,35.185,-38.815,-38.815,-38.815
8.203,35.2018072289157,-38.7981927710843,-38.7981927710843,-38.7981927710843
8.949,35.3981818181818,-38.6018181818182,-38.6018181818182,-38.6018181818182
9.694,35.0319512195122,-38.9680487804878,-38.9680487804878,-38.9680487804878
10.44,34.3114634146342,-39.6885365853658,-39.6885365853658,-39.6885365853658
11.186,35.4127160493827,-38.5872839506173,-38.5872839506173,-38.5872839506173
11.931,34.7888888888889,-39.2111111111111,-39.2111111111111,-39.2111111111111
12.677,34.2698795180723,-39.7301204819277,-39.7301204819277,-39.7301204819277
13.423,34.431375,-39.568625,-39.568625,-39.568625
14.169,34.0460975609756,-39.9539024390244,-39.9539024390244,-39.9539024390244
14.914,34.587625,-39.412375,-39.412375,-39.412375
15.66,33.2840740740741,-40.7159259259259,-40.7159259259259,-40.7159259259259
16.406,32.8971052631579,-41.1028947368421,-41.1028947368421,-41.1028947368421
17.151,32.1607894736842,-41.8392105263158,-41.8392105263158,-41.8392105263158
17.897,31.9388888888889,-42.0611111111111,-42.0611111111111,-42.0611111111111
18.643,32.1618072289157,-41.8381927710843,-41.8381927710843,-41.8381927710843
19.389,31.4802631578948,-42.5197368421052,-42.5197368421052,-42.5197368421052
20.134,30.952875,-43.047125,-43.047125,-43.047125
20.88,30.795243902439,-43.204756097561,-43.204756097561,-43.204756097561
21.626,30.6321686746988,-43.3678313253012,-43.3678313253012,-43.3678313253012
22.371,29.5485542168675,-44.4514457831325,-44.4514457831325,-44.4514457831325
23.117,28.4568,-45.5432,-45.5432,-45.5432
23.863,28.5868292682927,-45.4131707317073,-45.4131707317073,-45.4131707317073
24.609,27.9296590909091,-46.0703409090909,-46.0703409090909,-46.0703409090909
25.354,26.8319277108434,-47.1680722891566,-47.1680722891566,-47.1680722891566
26.1,27.024375,-46.975625,-46.975625,-46.975625
26.846,25.9678313253012,-48.0321686746988,-48.0321686746988,-48.0321686746988
27.591,27.4555421686747,-46.5444578313253,-46.5444578313253,-46.5444578313253
28.337,24.6833734939759,-49.3166265060241,-49.3166265060241,-49.3166265060241
29.083,24.584125,-49.415875,-49.415875,-49.415875
29.829,25.1409302325582,-48.8590697674418,-48.8590697674418,-48.8590697674418
30.574,25.0220987654321,-48.9779012345679,-48.9779012345679,-48.9779012345679
31.32,23.0006329113924,-50.9993670886076,-50.9993670886076,-50.9993670886076
32.066,21.6121621621622,-52.3878378378378,-52.3878378378378,-52.3878378378378
32.811,22.5404878048781,-51.4595121951219,-51.4595121951219,-51.4595121951219
33.557,22.1525301204819,-51.8474698795181,-51.8474698795181,-51.8474698795181
34.303,22.0668292682927,-51.9331707317073,-51.9331707317073,-51.9331707317073
35.049,21.8550617283951,-52.1449382716049,-52.1449382716049,-52.1449382716049
35.794,21.6892941176471,-52.3107058823529,-52.3107058823529,-52.3107058823529
36.54,22.5807317073171,-51.4192682926829,-51.4192682926829,-51.4192682926829
37.286,22.7893975903614,-51.2106024096386,-51.2106024096386,-51.2106024096386
38.031,24.3369047619048,-49.6630952380952,-49.6630952380952,-49.6630952380952
38.777,24.898,-49.102,-49.102,-49.102
39.523,24.94725,-49.05275,-49.05275,-49.05275
40.269,25.8518292682927,-48.1481707317073,-48.1481707317073,-48.1481707317073
41.014,26.4119480519481,-47.5880519480519,-47.5880519480519,-47.5880519480519
41.76,27.343375,-46.656625,-46.656625,-46.656625
42.506,27.6075609756098,-46.3924390243902,-46.3924390243902,-46.3924390243902
43.251,27.5204938271605,-46.4795061728395,-46.4795061728395,-46.4795061728395
43.997,27.8977380952381,-46.1022619047619,-46.1022619047619,-46.1022619047619
44.743,28.9435802469136,-45.0564197530864,-45.0564197530864,-45.0564197530864
45.489,28.804578313253,-45.195421686747,-45.195421686747,-45.195421686747
46.234,27.8807142857143,-46.1192857142857,-46.1192857142857,-46.1192857142857
46.98,28.8453012048193,-45.1546987951807,-45.1546987951807,-45.1546987951807
47.726,28.4734146341464,-45.5265853658536,-45.5265853658536,-45.5265853658536
48.471,28.9153571428572,-45.0846428571428,-45.0846428571428,-45.0846428571428
49.217,29.2214285714286,-44.7785714285714,-44.7785714285714,-44.7785714285714
49.963,28.7174390243903,-45.2825609756097,-45.2825609756097,-45.2825609756097
50.709,28.249756097561,-45.750243902439,-45.750243902439,-45.750243902439
51.454,27.9869135802469,-46.0130864197531,-46.0130864197531,-46.0130864197531
52.2,28.6406818181818,-45.3593181818182,-45.3593181818182,-45.3593181818182
52.946,27.7819277108434,-46.2180722891566,-46.2180722891566,-46.2180722891566
53.691,28.0154545454546,-45.9845454545454,-45.9845454545454,-45.9845454545454
54.437,25.490875,-48.509125,-48.509125,-48.509125
55.183,26.4960256410256,-47.5039743589744,-47.5039743589744,-47.5039743589744
55.929,25.6655,-48.3345,-48.3345,-48.3345
56.674,25.4050666666667,-48.5949333333333,-48.5949333333333,-48.5949333333333
57.42,26.0556,-47.9444,-47.9444,-47.9444
58.166,24.3294444444445,-49.6705555555556,-49.6705555555556,-49.6705555555556
58.911,24.0292857142857,-49.9707142857143,-49.9707142857143,-49.9707142857143
59.657,23.1597674418605,-50.8402325581395,-50.8402325581395,-50.8402325581395
60.403,23.0024096385542,-50.9975903614458,-50.9975903614458,-50.9975903614458
61.149,23.8326506024097,-50.1673493975903,-50.1673493975903,-50.1673493975903
61.894,22.8714473684211,-51.1285526315789,-51.1285526315789,-51.1285526315789
62.64,23.2275342465753,-50.7724657534247,-50.7724657534247,-50.7724657534247
63.386,24.1807228915663,-49.8192771084337,-49.8192771084337,-49.8192771084337
64.131,23.6867469879518,-50.3132530120482,-50.3132530120482,-50.3132530120482
64.877,24.2682191780822,-49.7317808219178,-49.7317808219178,-49.7317808219178
65.623,24.554578313253,-49.445421686747,-49.445421686747,-49.445421686747
66.369,25.2765853658537,-48.7234146341463,-48.7234146341463,-48.7234146341463
67.114,25.4131168831169,-48.5868831168831,-48.5868831168831,-48.5868831168831
67.86,26.0758441558442,-47.9241558441558,-47.9241558441558,-47.9241558441558
68.606,26.2050602409639,-47.7949397590361,-47.7949397590361,-47.7949397590361
69.351,26.2706666666667,-47.7293333333333,-47.7293333333333,-47.7293333333333
70.097,27.8989189189189,-46.1010810810811,-46.1010810810811,-46.1010810810811
70.843,28.2753225806452,-45.7246774193548,-45.7246774193548,-45.7246774193548
71.589,27.1820547945206,-46.8179452054794,-46.8179452054794,-46.8179452054794
72.334,28.8916666666667,-45.1083333333333,-45.1083333333333,-45.1083333333333
73.08,28.0597142857143,-45.9402857142857,-45.9402857142857,-45.9402857142857
73.826,28.7412987012987,-45.2587012987013,-45.2587012987013,-45.2587012987013
74.571,28.4913333333333,-45.5086666666667,-45.5086666666667,-45.5086666666667
75.317,28.7172368421053,-45.2827631578947,-45.2827631578947,-45.2827631578947
76.063,30.186875,-43.813125,-43.813125,-43.813125
76.809,29.4821538461539,-44.5178461538461,-44.5178461538461,-44.5178461538461
77.554,28.5107142857143,-45.4892857142857,-45.4892857142857,-45.4892857142857
78.3,29.6103947368421,-44.3896052631579,-44.3896052631579,-44.3896052631579
79.046,28.8722077922078,-45.1277922077922,-45.1277922077922,-45.1277922077922
79.791,29.5239473684211,-44.4760526315789,-44.4760526315789,-44.4760526315789
80.537,29.0453731343284,-44.9546268656716,-44.9546268656716,-44.9546268656716
81.283,30.2451428571429,-43.7548571428571,-43.7548571428571,-43.7548571428571
82.029,28.8952857142857,-45.1047142857143,-45.1047142857143,-45.1047142857143
82.774,30.1926190476191,-43.8073809523809,-43.8073809523809,-43.8073809523809
83.52,29.2503896103896,-44.7496103896104,-44.7496103896104,-44.7496103896104
84.266,28.7364935064935,-45.2635064935065,-45.2635064935065,-45.2635064935065
85.011,27.5169879518072,-46.4830120481927,-46.4830120481927,-46.4830120481927
85.757,28.6690410958904,-45.3309589041096,-45.3309589041096,-45.3309589041096
86.503,28.9613157894737,-45.0386842105263,-45.0386842105263,-45.0386842105263
87.249,27.6034666666667,-46.3965333333333,-46.3965333333333,-46.3965333333333
87.994,27.5466176470588,-46.4533823529412,-46.4533823529412,-46.4533823529412
88.74,27.3943421052632,-46.6056578947368,-46.6056578947368,-46.6056578947368
89.486,26.9585714285714,-47.0414285714286,-47.0414285714286,-47.0414285714286
90.231,27.7191428571429,-46.2808571428571,-46.2808571428571,-46.2808571428571
90.977,26.5666666666667,-47.4333333333333,-47.4333333333333,-47.4333333333333
91.723,27.6817391304348,-46.3182608695652,-46.3182608695652,-46.3182608695652
92.469,27.3278947368421,-46.6721052631579,-46.6721052631579,-46.6721052631579
93.214,27.1202666666667,-46.8797333333333,-46.8797333333333,-46.8797333333333
93.96,27.4628947368421,-46.5371052631579,-46.5371052631579,-46.5371052631579
94.706,26.5737878787879,-47.4262121212121,-47.4262121212121,-47.4262121212121
95.451,26.0688311688312,-47.9311688311688,-47.9311688311688,-47.9311688311688
96.197,25.53825,-48.46175,-48.46175,-48.46175
96.943,26.2391549295775,-47.7608450704225,-47.7608450704225,-47.7608450704225
97.689,26.5501298701299,-47.4498701298701,-47.4498701298701,-47.4498701298701
98.434,26.8933783783784,-47.1066216216216,-47.1066216216216,-47.1066216216216
99.18,28.0723188405797,-45.9276811594203,-45.9276811594203,-45.9276811594203
99.926,26.4229333333333,-47.5770666666667,-47.5770666666667,-47.5770666666667
100.671,25.9886764705883,-48.0113235294117,-48.0113235294117,-48.0113235294117
101.417,27.6156097560976,-46.3843902439024,-46.3843902439024,-46.3843902439024
102.163,25.2516883116883,-48.7483116883117,-48.7483116883117,-48.7483116883117
102.909,26.2045,-47.7955,-47.7955,-47.7955
103.654,26.1384337349398,-47.8615662650602,-47.8615662650602,-47.8615662650602
104.4,25.1979761904762,-48.8020238095238,-48.8020238095238,-48.8020238095238
105.146,25.4477027027027,-48.5522972972973,-48.5522972972973,-48.5522972972973
105.891,26.837037037037,-47.162962962963,-47.162962962963,-47.162962962963
106.637,26.368,-47.632,-47.632,-47.632
107.383,25.185,-48.815,-48.815,-48.815
108.129,25.4742682926829,-48.5257317073171,-48.5257317073171,-48.5257317073171
108.874,26.1068292682927,-47.8931707317073,-47.8931707317073,-47.8931707317073
109.62,25.818024691358,-48.181975308642,-48.181975308642,-48.181975308642
110.366,25.4535365853659,-48.5464634146341,-48.5464634146341,-48.5464634146341
111.111,24.9690361445783,-49.0309638554217,-49.0309638554217,-49.0309638554217
111.857,25.5589285714286,-48.4410714285714,-48.4410714285714,-48.4410714285714
112.603,25.217875,-48.782125,-48.782125,-48.782125
113.349,25.1566666666667,-48.8433333333333,-48.8433333333333,-48.8433333333333
114.094,23.90975,-50.09025,-50.09025,-50.09025
114.84,24.6272368421053,-49.3727631578947,-49.3727631578947,-49.3727631578947
115.586,23.5676315789474,-50.4323684210526,-50.4323684210526,-50.4323684210526
116.331,22.0574698795181,-51.9425301204819,-51.9425301204819,-51.9425301204819
117.077,20.7818421052632,-53.2181578947368,-53.2181578947368,-53.2181578947368
117.823,20.0473493975904,-53.9526506024096,-53.9526506024096,-53.9526506024096
118.569,20.2943835616438,-53.7056164383562,-53.7056164383562,-53.7056164383562
119.314,20.1757971014493,-53.8242028985507,-53.8242028985507,-53.8242028985507
120.06,19.5397590361446,-54.4602409638554,-54.4602409638554,-54.4602409638554
120.806,18.5840540540541,-55.4159459459459,-55.4159459459459,-55.4159459459459
121.551,18.86975,-55.13025,-55.13025,-55.13025
122.297,19.96546875,-54.03453125,-54.03453125,-54.03453125
123.043,19.0555263157895,-54.9444736842105,-54.9444736842105,-54.9444736842105
123.789,21.0861904761905,-52.9138095238095,-52.9138095238095,-52.9138095238095
124.534,20.8102597402597,-53.1897402597402,-53.1897402597402,-53.1897402597402
125.28,21.24625,-52.75375,-52.75375,-52.75375
126.026,21.13828125,-52.86171875,-52.86171875,-52.86171875
126.771,20.8592207792208,-53.1407792207792,-53.1407792207792,-53.1407792207792
127.517,22.6776811594203,-51.3223188405797,-51.3223188405797,-51.3223188405797
128.263,22.7122368421053,-51.2877631578947,-51.2877631578947,-51.2877631578947
129.009,24.2344,-49.7656,-49.7656,-49.7656
129.754,25.1895945945946,-48.8104054054054,-48.8104054054054,-48.8104054054054
130.5,25.0309210526316,-48.9690789473684,-48.9690789473684,-48.9690789473684
131.246,26.3647368421053,-47.6352631578947,-47.6352631578947,-47.6352631578947
131.991,27.5939759036145,-46.4060240963855,-46.4060240963855,-46.4060240963855
132.737,27.4095890410959,-46.5904109589041,-46.5904109589041,-46.5904109589041
133.483,28.2450769230769,-45.7549230769231,-45.7549230769231,-45.7549230769231
134.229,29.2334666666667,-44.7665333333333,-44.7665333333333,-44.7665333333333
134.974,28.7530263157895,-45.2469736842105,-45.2469736842105,-45.2469736842105
135.72,30.1771052631579,-43.8228947368421,-43.8228947368421,-43.8228947368421
136.466,31.6137662337663,-42.3862337662337,-42.3862337662337,-42.3862337662337
137.211,31.4046987951807,-42.5953012048193,-42.5953012048193,-42.5953012048193
137.957,30.883552631579,-43.116447368421,-43.116447368421,-43.116447368421
138.703,31.3093150684932,-42.6906849315068,-42.6906849315068,-42.6906849315068
139.449,32.3741666666667,-41.6258333333333,-41.6258333333333,-41.6258333333333
140.194,29.5251315789474,-44.4748684210526,-44.4748684210526,-44.4748684210526
140.94,32.4068656716418,-41.5931343283582,-41.5931343283582,-41.5931343283582
141.686,30.7562162162162,-43.2437837837838,-43.2437837837838,-43.2437837837838
142.431,30.9257894736842,-43.0742105263158,-43.0742105263158,-43.0742105263158
143.177,31.9290666666667,-42.0709333333333,-42.0709333333333,-42.0709333333333
143.923,32.1580821917808,-41.8419178082192,-41.8419178082192,-41.8419178082192
144.669,30.3187012987013,-43.6812987012987,-43.6812987012987,-43.6812987012987
145.414,30.4437837837838,-43.5562162162162,-43.5562162162162,-43.5562162162162
146.16,29.665945945946,-44.334054054054,-44.334054054054,-44.334054054054
146.906,30.9264285714286,-43.0735714285714,-43.0735714285714,-43.0735714285714
147.651,31.0367857142857,-42.9632142857143,-42.9632142857143,-42.9632142857143
148.397,29.2260493827161,-44.7739506172839,-44.7739506172839,-44.7739506172839
149.143,29.4307792207792,-44.5692207792208,-44.5692207792208,-44.5692207792208
149.889,29.8485714285714,-44.1514285714286,-44.1514285714286,-44.1514285714286
150.634,30.6313414634146,-43.3686585365854,-43.3686585365854,-43.3686585365854
151.38,32.5629268292683,-41.4370731707317,-41.4370731707317,-41.4370731707317
152.126,31.5197260273973,-42.4802739726027,-42.4802739726027,-42.4802739726027
152.871,31.6625609756098,-42.3374390243902,-42.3374390243902,-42.3374390243902
153.617,31.9092207792208,-42.0907792207792,-42.0907792207792,-42.0907792207792
154.363,33.0706097560976,-40.9293902439024,-40.9293902439024,-40.9293902439024
155.109,32.362875,-41.637125,-41.637125,-41.637125
155.854,32.6988095238095,-41.3011904761905,-41.3011904761905,-41.3011904761905
156.6,32.7705,-41.2295,-41.2295,-41.2295
157.346,31.67,-42.33,-42.33,-42.33
158.091,32.9072,-41.0928,-41.0928,-41.0928
158.837,30.949875,-43.050125,-43.050125,-43.050125
201.163,33.0694047619048,-40.9305952380952,-40.9305952380952,-40.9305952380952
201.909,33.0610843373494,-40.9389156626506,-40.9389156626506,-40.9389156626506
202.654,32.0364634146342,-41.9635365853658,-41.9635365853658,-41.9635365853658
203.4,33.5841975308642,-40.4158024691358,-40.4158024691358,-40.4158024691358
204.146,32.414625,-41.585375,-41.585375,-41.585375
204.891,31.2515662650602,-42.7484337349398,-42.7484337349398,-42.7484337349398
205.637,33.9397959183674,-40.0602040816326,-40.0602040816326,-40.0602040816326
206.383,32.7372368421053,-41.2627631578947,-41.2627631578947,-41.2627631578947
207.129,32.2096551724138,-41.7903448275862,-41.7903448275862,-41.7903448275862
207.874,29.865974025974,-44.134025974026,-44.134025974026,-44.134025974026
208.62,27.8553012048193,-46.1446987951807,-46.1446987951807,-46.1446987951807
209.366,26.3518292682927,-47.6481707317073,-47.6481707317073,-47.6481707317073
210.111,22.7072368421053,-51.2927631578947,-51.2927631578947,-51.2927631578947
210.857,20.4835714285714,-53.5164285714286,-53.5164285714286,-53.5164285714286
211.603,20.8722222222222,-53.1277777777778,-53.1277777777778,-53.1277777777778
212.349,24.4272941176471,-49.5727058823529,-49.5727058823529,-49.5727058823529
213.094,25.0570512820513,-48.9429487179487,-48.9429487179487,-48.9429487179487
213.84,27.1429113924051,-46.8570886075949,-46.8570886075949,-46.8570886075949
214.586,28.3023376623377,-45.6976623376623,-45.6976623376623,-45.6976623376623
215.331,30.1177215189874,-43.8822784810126,-43.8822784810126,-43.8822784810126
216.077,30.8112345679012,-43.1887654320988,-43.1887654320988,-43.1887654320988
216.823,31.1223076923077,-42.8776923076923,-42.8776923076923,-42.8776923076923
217.569,31.6704166666667,-42.3295833333333,-42.3295833333333,-42.3295833333333
218.314,31.5545333333334,-42.4454666666666,-42.4454666666666,-42.4454666666666
219.06,31.4513698630137,-42.5486301369863,-42.5486301369863,-42.5486301369863
219.806,33.5585365853659,-40.4414634146341,-40.4414634146341,-40.4414634146341
220.551,32.6634567901235,-41.3365432098765,-41.3365432098765,-41.3365432098765
221.297,32.4543023255814,-41.5456976744186,-41.5456976744186,-41.5456976744186
222.043,33.3506493506494,-40.6493506493506,-40.6493506493506,-40.6493506493506
222.789,32.6857142857143,-41.3142857142857,-41.3142857142857,-41.3142857142857
223.534,32.6973417721519,-41.3026582278481,-41.3026582278481,-41.3026582278481
224.28,32.5944871794872,-41.4055128205128,-41.4055128205128,-41.4055128205128
225.026,31.4925,-42.5075,-42.5075,-42.5075
225.771,30.7857831325301,-43.2142168674699,-43.2142168674699,-43.2142168674699
226.517,29.0256962025317,-44.9743037974683,-44.9743037974683,-44.9743037974683
227.263,27.6094047619048,-46.3905952380952,-46.3905952380952,-46.3905952380952
228.009,24.7814285714286,-49.2185714285714,-49.2185714285714,-49.2185714285714
228.754,21.9274025974026,-52.0725974025974,-52.0725974025974,-52.0725974025974
229.5,20.6725352112676,-53.3274647887324,-53.3274647887324,-53.3274647887324
230.246,21.0794318181818,-52.9205681818182,-52.9205681818182,-52.9205681818182
230.991,21.8575949367089,-52.1424050632911,-52.1424050632911,-52.1424050632911
231.737,22.4656470588235,-51.5343529411765,-51.5343529411765,-51.5343529411765
232.483,23.2382142857143,-50.7617857142857,-50.7617857142857,-50.7617857142857
