dir,snr,rx_f28,rx_f60,rx_f73
0,24.5665882352941,-49.4334117647059,-49.4334117647059,-49.4334117647059
0.746,23.4489473684211,-50.5510526315789,-50.5510526315789,-50.5510526315789
1.491,23.0688157894737,-50.9311842105263,-50.9311842105263,-50.9311842105263
2.237,23.5114634146342,-50.4885365853658,-50.4885365853658,-50.4885365853658
2.983,22.875375,-51.124625,-51.124625,-51.124625
3.729,23.2192771084337,-50.7807228915663,-50.7807228915663,-50.7807228915663
4.474,23.4519277108434,-50.5480722891566,-50.5480722891566,-50.5480722891566
5.22,22.8857831325301,-51.1142168674699,-51.1142168674699,-51.1142168674699
5.966,22.0832926829268,-51.9167073170731,-51.9167073170731,-51.9167073170731
6.711,24.045,-49.955,-49.955,-49.955
7.457,23.924880952381,-50.075119047619,-50.075119047619,-50.075119047619
8.203,23.9961445783133,-50.0038554216867,-50.0038554216867,-50.0038554216867
8.949,24.3060606060606,-49.6939393939394,-49.6939393939394,-49.6939393939394
9.694,24.6312195121951,-49.3687804878049,-49.3687804878049,-49.3687804878049
10.44,24.0871951219512,-49.9128048780488,-49.9128048780488,-49.9128048780488
11.186,26.3435802469136,-47.6564197530864,-47.6564197530864,-47.6564197530864
11.931,26.2423456790124,-47.7576543209876,-47.7576543209876,-47.7576543209876
12.677,25.7021686746988,-48.2978313253012,-48.2978313253012,-48.2978313253012
13.423,25.8645,-48.1355,-48.1355,-48.1355
14.169,26.5534146341464,-47.4465853658536,-47.4465853658536,-47.4465853658536
14.914,27.148125,-46.851875,-46.851875,-46.851875
15.66,25.7549382716049,-48.2450617283951,-48.2450617283951,-48.2450617283951
16.406,26.0178947368421,-47.9821052631579,-47.9821052631579,-47.9821052631579
17.151,25.39,-48.61,-48.61,-48.61
17.897,25.4003703703704,-48.5996296296296,-48.5996296296296,-48.5996296296296
18.643,25.2540963855422,-48.7459036144578,-48.7459036144578,-48.7459036144578
19.389,24.3290789473684,-49.6709210526316,-49.6709210526316,-49.6709210526316
20.134,23.298125,-50.701875,-50.701875,-50.701875
20.88,22.7496341463415,-51.2503658536585,-51.2503658536585,-51.2503658536585
21.626,22.965421686747,-51.034578313253,-51.034578313253,-51.034578313253
22.371,22.3774698795181,-51.6225301204819,-51.6225301204819,-51.6225301204819
23.117,21.6625333333333,-52.3374666666667,-52.3374666666667,-52.3374666666667
