dir,snr,rx_f28,rx_f60,rx_f73
0,25.5850588235294,-48.4149411764706,-48.4149411764706,-48.4149411764706
0.746,23.96,-50.04,-50.04,-50.04
1.491,23.453552631579,-50.546447368421,-50.546447368421,-50.546447368421
2.237,23.9604878048781,-50.0395121951219,-50.0395121951219,-50.0395121951219
2.983,23.01875,-50.98125,-50.98125,-50.98125
3.729,22.8383132530121,-51.1616867469879,-51.1616867469879,-51.1616867469879
4.474,22.4518072289157,-51.5481927710843,-51.5481927710843,-51.5481927710843
5.22,20.8986746987952,-53.1013253012048,-53.1013253012048,-53.1013253012048
5.966,19.314756097561,-54.685243902439,-54.685243902439,-54.685243902439
6.711,19.937125,-54.062875,-54.062875,-54.062875
7.457,17.6616666666667,-56.3383333333333,-56.3383333333333,-56.3383333333333
8.203,15.7738554216868,-58.2261445783132,-58.2261445783132,-58.2261445783132
8.949,15.0084848484848,-58.9915151515152,-58.9915151515152,-58.9915151515152
9.694,14.6724390243903,-59.3275609756097,-59.3275609756097,-59.3275609756097
10.44,15.4121951219512,-58.5878048780488,-58.5878048780488,-58.5878048780488
11.186,19.0186419753087,-54.9813580246913,-54.9813580246913,-54.9813580246913
11.931,19.7314814814815,-54.2685185185185,-54.2685185185185,-54.2685185185185
12.677,19.7318072289157,-54.2681927710843,-54.2681927710843,-54.2681927710843
13.423,21.344625,-52.655375,-52.655375,-52.655375
14.169,22.6536585365854,-51.3463414634146,-51.3463414634146,-51.3463414634146
14.914,24.079625,-49.920375,-49.920375,-49.920375
15.66,23.7264197530864,-50.2735802469136,-50.2735802469136,-50.2735802469136
16.406,24.8038157894737,-49.1961842105263,-49.1961842105263,-49.1961842105263
17.151,25.0832894736842,-48.9167105263158,-48.9167105263158,-48.9167105263158
17.897,25.8218518518519,-48.1781481481481,-48.1781481481481,-48.1781481481481
18.643,26.9828915662651,-47.0171084337349,-47.0171084337349,-47.0171084337349
19.389,27.3721052631579,-46.6278947368421,-46.6278947368421,-46.6278947368421
20.134,27.656,-46.344,-46.344,-46.344
20.88,27.8423170731707,-46.1576829268293,-46.1576829268293,-46.1576829268293
21.626,28.3331325301205,-45.6668674698795,-45.6668674698795,-45.6668674698795
22.371,28.5472289156627,-45.4527710843373,-45.4527710843373,-45.4527710843373
23.117,28.3625333333333,-45.6374666666667,-45.6374666666667,-45.6374666666667
23.863,29.7389024390244,-44.2610975609756,-44.2610975609756,-44.2610975609756
24.609,29.6930681818182,-44.3069318181818,-44.3069318181818,-44.3069318181818
25.354,29.0897590361446,-44.9102409638554,-44.9102409638554,-44.9102409638554
26.1,29.69075,-44.30925,-44.30925,-44.30925
26.846,28.8726506024097,-45.1273493975903,-45.1273493975903,-45.1273493975903
27.591,31.1337349397591,-42.8662650602409,-42.8662650602409,-42.8662650602409
28.337,29.2681927710844,-44.7318072289156,-44.7318072289156,-44.7318072289156
29.083,29.770125,-44.229875,-44.229875,-44.229875
29.829,30.2795348837209,-43.7204651162791,-43.7204651162791,-43.7204651162791
30.574,30.1306172839506,-43.8693827160494,-43.8693827160494,-43.8693827160494
31.32,29.2711392405063,-44.7288607594937,-44.7288607594937,-44.7288607594937
32.066,28.7354054054054,-45.2645945945946,-45.2645945945946,-45.2645945945946
32.811,29.5517073170732,-44.4482926829268,-44.4482926829268,-44.4482926829268
33.557,29.2933734939759,-44.7066265060241,-44.7066265060241,-44.7066265060241
34.303,28.7604878048781,-45.2395121951219,-45.2395121951219,-45.2395121951219
35.049,28.4217283950617,-45.5782716049383,-45.5782716049383,-45.5782716049383
35.794,27.4705882352941,-46.5294117647059,-46.5294117647059,-46.5294117647059
36.54,27.71,-46.29,-46.29,-46.29
37.286,26.9553012048193,-47.0446987951807,-47.0446987951807,-47.0446987951807
38.031,27.3233333333333,-46.6766666666667,-46.6766666666667,-46.6766666666667
38.777,26.6616470588235,-47.3383529411765,-47.3383529411765,-47.3383529411765
39.523,25.7995,-48.2005,-48.2005,-48.2005
40.269,25.6789024390244,-48.3210975609756,-48.3210975609756,-48.3210975609756
41.014,24.8668831168831,-49.1331168831169,-49.1331168831169,-49.1331168831169
41.76,24.56425,-49.43575,-49.43575,-49.43575
42.506,24.0691463414634,-49.9308536585366,-49.9308536585366,-49.9308536585366
43.251,22.9237037037037,-51.0762962962963,-51.0762962962963,-51.0762962962963
43.997,21.7821428571429,-52.2178571428571,-52.2178571428571,-52.2178571428571
44.743,22.8797530864198,-51.1202469135802,-51.1202469135802,-51.1202469135802
45.489,22.9595180722892,-51.0404819277108,-51.0404819277108,-51.0404819277108
46.234,22.3719047619048,-51.6280952380952,-51.6280952380952,-51.6280952380952
46.98,23.7321686746988,-50.2678313253012,-50.2678313253012,-50.2678313253012
47.726,24.0407317073171,-49.9592682926829,-49.9592682926829,-49.9592682926829
48.471,25.3829761904762,-48.6170238095238,-48.6170238095238,-48.6170238095238
49.217,26.6515476190476,-47.3484523809524,-47.3484523809524,-47.3484523809524
49.963,26.6425609756098,-47.3574390243902,-47.3574390243902,-47.3574390243902
50.709,27.1565853658537,-46.8434146341463,-46.8434146341463,-46.8434146341463
51.454,27.6141975308642,-46.3858024691358,-46.3858024691358,-46.3858024691358
52.2,28.42875,-45.57125,-45.57125,-45.57125
52.946,28.5578313253012,-45.4421686746988,-45.4421686746988,-45.4421686746988
53.691,29.8624675324675,-44.1375324675325,-44.1375324675325,-44.1375324675325
54.437,27.63725,-46.36275,-46.36275,-46.36275
55.183,29.5369230769231,-44.4630769230769,-44.4630769230769,-44.4630769230769
55.929,29.032125,-44.967875,-44.967875,-44.967875
