dir,snr,rx_f28,rx_f60,rx_f73
0,30.3751764705883,-43.6248235294117,-43.6248235294117,-43.6248235294117
0.746,29.9328947368421,-44.0671052631579,-44.0671052631579,-44.0671052631579
1.491,28.443552631579,-45.556447368421,-45.556447368421,-45.556447368421
2.237,29.4320731707317,-44.5679268292683,-44.5679268292683,-44.5679268292683
2.983,28.8215,-45.1785,-45.1785,-45.1785
3.729,29.7292771084338,-44.2707228915663,-44.2707228915663,-44.2707228915663
4.474,29.4319277108434,-44.5680722891566,-44.5680722891566,-44.5680722891566
5.22,28.7589156626506,-45.2410843373494,-45.2410843373494,-45.2410843373494
5.966,27.8029268292683,-46.1970731707317,-46.1970731707317,-46.1970731707317
6.711,30.1735,-43.8265,-43.8265,-43.8265
7.457,29.3992857142857,-44.6007142857143,-44.6007142857143,-44.6007142857143
8.203,29.6446987951807,-44.3553012048193,-44.3553012048193,-44.3553012048193
8.949,30.1015151515152,-43.8984848484848,-43.8984848484848,-43.8984848484848
9.694,29.7125609756098,-44.2874390243902,-44.2874390243902,-44.2874390243902
10.44,28.5385365853659,-45.4614634146341,-45.4614634146341,-45.4614634146341
11.186,30.249012345679,-43.750987654321,-43.750987654321,-43.750987654321
11.931,29.9138271604938,-44.0861728395062,-44.0861728395062,-44.0861728395062
12.677,29.0160240963856,-44.9839759036144,-44.9839759036144,-44.9839759036144
13.423,29.4025,-44.5975,-44.5975,-44.5975
14.169,29.5834146341464,-44.4165853658536,-44.4165853658536,-44.4165853658536
14.914,30.08,-43.92,-43.92,-43.92
15.66,28.9551851851852,-45.0448148148148,-45.0448148148148,-45.0448148148148
16.406,29.2769736842105,-44.7230263157895,-44.7230263157895,-44.7230263157895
17.151,28.8444736842105,-45.1555263157895,-45.1555263157895,-45.1555263157895
17.897,29.2875308641975,-44.7124691358025,-44.7124691358025,-44.7124691358025
18.643,29.6066265060241,-44.3933734939759,-44.3933734939759,-44.3933734939759
19.389,28.9453947368421,-45.0546052631579,-45.0546052631579,-45.0546052631579
20.134,29.07475,-44.92525,-44.92525,-44.92525
20.88,29.2995121951219,-44.7004878048781,-44.7004878048781,-44.7004878048781
21.626,29.8122891566265,-44.1877108433735,-44.1877108433735,-44.1877108433735
22.371,29.4613253012048,-44.5386746987952,-44.5386746987952,-44.5386746987952
23.117,29.2416,-44.7584,-44.7584,-44.7584
23.863,29.9996341463415,-44.0003658536585,-44.0003658536585,-44.0003658536585
24.609,29.6810227272727,-44.3189772727273,-44.3189772727273,-44.3189772727273
25.354,28.7561445783133,-45.2438554216867,-45.2438554216867,-45.2438554216867
26.1,29.180125,-44.819875,-44.819875,-44.819875
26.846,28.2531325301205,-45.7468674698795,-45.7468674698795,-45.7468674698795
27.591,30.5806024096386,-43.4193975903614,-43.4193975903614,-43.4193975903614
28.337,28.6401204819277,-45.3598795180723,-45.3598795180723,-45.3598795180723
29.083,28.5775,-45.4225,-45.4225,-45.4225
29.829,29.4802325581396,-44.5197674418604,-44.5197674418604,-44.5197674418604
30.574,28.9665432098766,-45.0334567901234,-45.0334567901234,-45.0334567901234
31.32,28.24,-45.76,-45.76,-45.76
32.066,27.9201351351351,-46.0798648648649,-46.0798648648649,-46.0798648648649
32.811,28.5373170731707,-45.4626829268293,-45.4626829268293,-45.4626829268293
33.557,28.1939759036145,-45.8060240963855,-45.8060240963855,-45.8060240963855
34.303,27.9474390243903,-46.0525609756097,-46.0525609756097,-46.0525609756097
35.049,27.4793827160494,-46.5206172839506,-46.5206172839506,-46.5206172839506
35.794,26.8456470588235,-47.1543529411765,-47.1543529411765,-47.1543529411765
36.54,27.3039024390244,-46.6960975609756,-46.6960975609756,-46.6960975609756
37.286,27.2422891566265,-46.7577108433735,-46.7577108433735,-46.7577108433735
38.031,27.7808333333334,-46.2191666666667,-46.2191666666667,-46.2191666666667
38.777,27.6281176470588,-46.3718823529412,-46.3718823529412,-46.3718823529412
39.523,26.938,-47.062,-47.062,-47.062
40.269,27.5803658536585,-46.4196341463415,-46.4196341463415,-46.4196341463415
41.014,27.4755844155844,-46.5244155844156,-46.5244155844156,-46.5244155844156
41.76,28.1545,-45.8455,-45.8455,-45.8455
42.506,28.2017073170732,-45.7982926829268,-45.7982926829268,-45.7982926829268
43.251,27.7135802469136,-46.2864197530864,-46.2864197530864,-46.2864197530864
43.997,27.6041666666667,-46.3958333333333,-46.3958333333333,-46.3958333333333
44.743,28.4132098765432,-45.5867901234568,-45.5867901234568,-45.5867901234568
45.489,28.4240963855422,-45.5759036144578,-45.5759036144578,-45.5759036144578
46.234,27.57,-46.43,-46.43,-46.43
46.98,28.660843373494,-45.339156626506,-45.339156626506,-45.339156626506
47.726,28.2669512195122,-45.7330487804878,-45.7330487804878,-45.7330487804878
48.471,29.3661904761905,-44.6338095238095,-44.6338095238095,-44.6338095238095
49.217,29.3364285714286,-44.6635714285714,-44.6635714285714,-44.6635714285714
49.963,28.6035365853659,-45.3964634146341,-45.3964634146341,-45.3964634146341
50.709,28.5826829268293,-45.4173170731707,-45.4173170731707,-45.4173170731707
51.454,28.5534567901235,-45.4465432098765,-45.4465432098765,-45.4465432098765
52.2,29.4026136363637,-44.5973863636363,-44.5973863636363,-44.5973863636363
52.946,28.9686746987952,-45.0313253012048,-45.0313253012048,-45.0313253012048
53.691,29.8997402597403,-44.1002597402597,-44.1002597402597,-44.1002597402597
54.437,27.227875,-46.772125,-46.772125,-46.772125
55.183,28.7265384615385,-45.2734615384615,-45.2734615384615,-45.2734615384615
55.929,28.26575,-45.73425,-45.73425,-45.73425
56.674,29.0168,-44.9832,-44.9832,-44.9832
57.42,29.4061333333333,-44.5938666666667,-44.5938666666667,-44.5938666666667
58.166,27.6855555555556,-46.3144444444444,-46.3144444444444,-46.3144444444444
58.911,27.7817857142857,-46.2182142857143,-46.2182142857143,-46.2182142857143
59.657,27.5867441860465,-46.4132558139535,-46.4132558139535,-46.4132558139535
60.403,28.1284337349398,-45.8715662650602,-45.8715662650602,-45.8715662650602
61.149,28.1834939759036,-45.8165060240964,-45.8165060240964,-45.8165060240964
61.894,27.4806578947369,-46.5193421052631,-46.5193421052631,-46.5193421052631
62.64,27.0232876712329,-46.9767123287671,-46.9767123287671,-46.9767123287671
63.386,27.9607228915663,-46.0392771084337,-46.0392771084337,-46.0392771084337
64.131,26.544578313253,-47.455421686747,-47.455421686747,-47.455421686747
64.877,26.5968493150685,-47.4031506849315,-47.4031506849315,-47.4031506849315
65.623,26.0781927710844,-47.9218072289156,-47.9218072289156,-47.9218072289156
66.369,25.9389024390244,-48.0610975609756,-48.0610975609756,-48.0610975609756
67.114,25.5209090909091,-48.4790909090909,-48.4790909090909,-48.4790909090909
67.86,25.4525974025974,-48.5474025974026,-48.5474025974026,-48.5474025974026
68.606,24.859156626506,-49.140843373494,-49.140843373494,-49.140843373494
69.351,24.2524,-49.7476,-49.7476,-49.7476
70.097,24.6847297297297,-49.3152702702703,-49.3152702702703,-49.3152702702703
70.843,24.3109677419355,-49.6890322580645,-49.6890322580645,-49.6890322580645
71.589,23.1228767123288,-50.8771232876712,-50.8771232876712,-50.8771232876712
72.334,24.3768055555556,-49.6231944444444,-49.6231944444444,-49.6231944444444
73.08,23.3237142857143,-50.6762857142857,-50.6762857142857,-50.6762857142857
73.826,22.4864935064935,-51.5135064935065,-51.5135064935065,-51.5135064935065
74.571,22.0569333333333,-51.9430666666667,-51.9430666666667,-51.9430666666667
75.317,21.9518421052632,-52.0481578947368,-52.0481578947368,-52.0481578947368
76.063,23.450625,-50.549375,-50.549375,-50.549375
76.809,22.2943076923077,-51.7056923076923,-51.7056923076923,-51.7056923076923
77.554,20.6314285714286,-53.3685714285714,-53.3685714285714,-53.3685714285714
78.3,21.9282894736842,-52.0717105263158,-52.0717105263158,-52.0717105263158
79.046,21.1888311688312,-52.8111688311688,-52.8111688311688,-52.8111688311688
79.791,21.6001298701299,-52.3998701298701,-52.3998701298701,-52.3998701298701
80.537,21.5341791044776,-52.4658208955224,-52.4658208955224,-52.4658208955224
81.283,23.0048571428572,-50.9951428571429,-50.9951428571429,-50.9951428571429
82.029,22.2667142857143,-51.7332857142857,-51.7332857142857,-51.7332857142857
82.774,23.6317857142857,-50.3682142857143,-50.3682142857143,-50.3682142857143
83.52,22.7585714285714,-51.2414285714286,-51.2414285714286,-51.2414285714286
84.266,22.3716883116883,-51.6283116883117,-51.6283116883117,-51.6283116883117
