dir,snr,rx_f28,rx_f60,rx_f73
0,18.9702352941177,-55.0297647058823,-55.0297647058823,-55.0297647058823
0.746,17.7552631578947,-56.2447368421053,-56.2447368421053,-56.2447368421053
1.491,18.0892105263158,-55.9107894736842,-55.9107894736842,-55.9107894736842
2.237,19.4340243902439,-54.5659756097561,-54.5659756097561,-54.5659756097561
2.983,19.255875,-54.744125,-54.744125,-54.744125
3.729,19.9927710843374,-54.0072289156626,-54.0072289156626,-54.0072289156626
4.474,20.4883132530121,-53.5116867469879,-53.5116867469879,-53.5116867469879
5.22,20.2886746987952,-53.7113253012048,-53.7113253012048,-53.7113253012048
5.966,20.2506097560976,-53.7493902439024,-53.7493902439024,-53.7493902439024
6.711,22.261875,-51.738125,-51.738125,-51.738125
7.457,21.4717857142857,-52.5282142857143,-52.5282142857143,-52.5282142857143
8.203,20.9839759036145,-53.0160240963855,-53.0160240963855,-53.0160240963855
8.949,21.1943939393939,-52.8056060606061,-52.8056060606061,-52.8056060606061
9.694,20.7653658536586,-53.2346341463414,-53.2346341463414,-53.2346341463414
10.44,19.644512195122,-54.355487804878,-54.355487804878,-54.355487804878
11.186,21.6385185185185,-52.3614814814815,-52.3614814814815,-52.3614814814815
11.931,21.2869135802469,-52.7130864197531,-52.7130864197531,-52.7130864197531
12.677,20.3840963855422,-53.6159036144578,-53.6159036144578,-53.6159036144578
13.423,20.870625,-53.129375,-53.129375,-53.129375
14.169,21.1582926829268,-52.8417073170732,-52.8417073170732,-52.8417073170732
14.914,22.103375,-51.896625,-51.896625,-51.896625
15.66,21.2798765432099,-52.7201234567901,-52.7201234567901,-52.7201234567901
16.406,22.2194736842105,-51.7805263157895,-51.7805263157895,-51.7805263157895
17.151,22.7852631578948,-51.2147368421052,-51.2147368421052,-51.2147368421052
17.897,23.42,-50.58,-50.58,-50.58
18.643,24.8130120481928,-49.1869879518072,-49.1869879518072,-49.1869879518072
19.389,25.2269736842105,-48.7730263157895,-48.7730263157895,-48.7730263157895
20.134,25.73675,-48.26325,-48.26325,-48.26325
20.88,26.3317073170732,-47.6682926829268,-47.6682926829268,-47.6682926829268
21.626,27.0003614457831,-46.9996385542169,-46.9996385542169,-46.9996385542169
22.371,27.2456626506024,-46.7543373493976,-46.7543373493976,-46.7543373493976
23.117,27.1005333333333,-46.8994666666667,-46.8994666666667,-46.8994666666667
23.863,28.3706097560976,-45.6293902439024,-45.6293902439024,-45.6293902439024
24.609,28.2648863636364,-45.7351136363636,-45.7351136363636,-45.7351136363636
25.354,27.545421686747,-46.454578313253,-46.454578313253,-46.454578313253
26.1,27.895875,-46.104125,-46.104125,-46.104125
26.846,27.031686746988,-46.968313253012,-46.968313253012,-46.968313253012
27.591,29.1656626506024,-44.8343373493976,-44.8343373493976,-44.8343373493976
28.337,26.7990361445783,-47.2009638554217,-47.2009638554217,-47.2009638554217
