dir,snr,rx_f28,rx_f60,rx_f73
0,29.9488235294118,-44.0511764705882,-44.0511764705882,-44.0511764705882
0.746,29.0235135135135,-44.9764864864865,-44.9764864864865,-44.9764864864865
1.491,28.0741891891892,-45.9258108108108,-45.9258108108108,-45.9258108108108
2.237,29.1460493827161,-44.8539506172839,-44.8539506172839,-44.8539506172839
2.983,28.9887341772152,-45.0112658227848,-45.0112658227848,-45.0112658227848
3.729,29.6273417721519,-44.3726582278481,-44.3726582278481,-44.3726582278481
4.474,29.568125,-44.431875,-44.431875,-44.431875
5.22,29.181125,-44.818875,-44.818875,-44.818875
5.966,28.0312820512821,-45.9687179487179,-45.9687179487179,-45.9687179487179
6.711,30.1941333333333,-43.8058666666667,-43.8058666666667,-43.8058666666667
7.457,29.281375,-44.718625,-44.718625,-44.718625
8.203,29.3138157894737,-44.6861842105263,-44.6861842105263,-44.6861842105263
8.949,29.5034375,-44.4965625,-44.4965625,-44.4965625
9.694,29.0360759493671,-44.9639240506329,-44.9639240506329,-44.9639240506329
10.44,27.6716455696203,-46.3283544303797,-46.3283544303797,-46.3283544303797
11.186,29.0430379746836,-44.9569620253164,-44.9569620253164,-44.9569620253164
11.931,28.2306578947369,-45.7693421052631,-45.7693421052631,-45.7693421052631
12.677,27.2733333333334,-46.7266666666666,-46.7266666666666,-46.7266666666666
13.423,27.050641025641,-46.949358974359,-46.949358974359,-46.949358974359
14.169,27.1557894736842,-46.8442105263158,-46.8442105263158,-46.8442105263158
14.914,27.0707894736842,-46.9292105263158,-46.9292105263158,-46.9292105263158
15.66,25.504358974359,-48.495641025641,-48.495641025641,-48.495641025641
16.406,25.6274324324324,-48.3725675675676,-48.3725675675676,-48.3725675675676
17.151,25.0322972972973,-48.9677027027027,-48.9677027027027,-48.9677027027027
17.897,24.793417721519,-49.206582278481,-49.206582278481,-49.206582278481
18.643,25.0403703703704,-48.9596296296296,-48.9596296296296,-48.9596296296296
19.389,24.7363513513514,-49.2636486486486,-49.2636486486486,-49.2636486486486
20.134,24.0682051282051,-49.9317948717949,-49.9317948717949,-49.9317948717949
20.88,23.8561728395062,-50.1438271604938,-50.1438271604938,-50.1438271604938
21.626,24.20075,-49.79925,-49.79925,-49.79925
22.371,23.8939240506329,-50.1060759493671,-50.1060759493671,-50.1060759493671
23.117,24.0998611111111,-49.9001388888889,-49.9001388888889,-49.9001388888889
23.863,25.4208,-48.5792,-48.5792,-48.5792
24.609,25.0736363636364,-48.9263636363636,-48.9263636363636,-48.9263636363636
25.354,24.1192405063291,-49.8807594936709,-49.8807594936709,-49.8807594936709
26.1,24.6346753246753,-49.3653246753247,-49.3653246753247,-49.3653246753247
26.846,23.9835802469136,-50.0164197530864,-50.0164197530864,-50.0164197530864
27.591,24.9029268292683,-49.0970731707317,-49.0970731707317,-49.0970731707317
28.337,23.0981707317073,-50.9018292682927,-50.9018292682927,-50.9018292682927
29.083,24.3151898734177,-49.6848101265822,-49.6848101265822,-49.6848101265822
29.829,25.3958024691358,-48.6041975308642,-48.6041975308642,-48.6041975308642
30.574,24.461,-49.539,-49.539,-49.539
31.32,22.4277333333333,-51.5722666666667,-51.5722666666667,-51.5722666666667
32.066,22.25,-51.75,-51.75,-51.75
32.811,23.6775641025641,-50.3224358974359,-50.3224358974359,-50.3224358974359
33.557,22.993950617284,-51.006049382716,-51.006049382716,-51.006049382716
34.303,22.4772839506173,-51.5227160493827,-51.5227160493827,-51.5227160493827
35.049,21.9622784810127,-52.0377215189873,-52.0377215189873,-52.0377215189873
35.794,21.2947058823529,-52.7052941176471,-52.7052941176471,-52.7052941176471
36.54,21.3648148148148,-52.6351851851852,-52.6351851851852,-52.6351851851852
37.286,20.3835,-53.6165,-53.6165,-53.6165
38.031,21.4480769230769,-52.5519230769231,-52.5519230769231,-52.5519230769231
38.777,21.6233333333333,-52.3766666666667,-52.3766666666667,-52.3766666666667
39.523,21.9428947368421,-52.0571052631579,-52.0571052631579,-52.0571052631579
40.269,22.6468831168831,-51.3531168831169,-51.3531168831169,-51.3531168831169
41.014,23.0132876712329,-50.9867123287671,-50.9867123287671,-50.9867123287671
41.76,24.045641025641,-49.954358974359,-49.954358974359,-49.954358974359
42.506,23.187875,-50.812125,-50.812125,-50.812125
43.251,22.1008974358974,-51.8991025641026,-51.8991025641026,-51.8991025641026
43.997,22.5868674698795,-51.4131325301205,-51.4131325301205,-51.4131325301205
