dir,snr,rx_f28,rx_f60,rx_f73
0,31.4328235294118,-42.5671764705882,-42.5671764705882,-42.5671764705882
0.746,30.9884210526316,-43.0115789473684,-43.0115789473684,-43.0115789473684
1.491,29.9132894736842,-44.0867105263158,-44.0867105263158,-44.0867105263158
2.237,31.1432926829268,-42.8567073170732,-42.8567073170732,-42.8567073170732
2.983,30.84625,-43.15375,-43.15375,-43.15375
3.729,32.0269879518072,-41.9730120481928,-41.9730120481928,-41.9730120481928
4.474,32.0415662650603,-41.9584337349397,-41.9584337349397,-41.9584337349397
5.22,31.7586746987952,-42.2413253012048,-42.2413253012048,-42.2413253012048
5.966,30.8374390243903,-43.1625609756097,-43.1625609756097,-43.1625609756097
6.711,32.951875,-41.048125,-41.048125,-41.048125
7.457,32.0764285714286,-41.9235714285714,-41.9235714285714,-41.9235714285714
8.203,32.4903614457831,-41.5096385542169,-41.5096385542169,-41.5096385542169
8.949,32.7203030303031,-41.2796969696969,-41.2796969696969,-41.2796969696969
9.694,32.5771951219512,-41.4228048780488,-41.4228048780488,-41.4228048780488
10.44,31.6257317073171,-42.3742682926829,-42.3742682926829,-42.3742682926829
11.186,32.8818518518519,-41.1181481481481,-41.1181481481481,-41.1181481481481
11.931,32.0769135802469,-41.9230864197531,-41.9230864197531,-41.9230864197531
12.677,30.9061445783133,-43.0938554216867,-43.0938554216867,-43.0938554216867
13.423,31.129125,-42.870875,-42.870875,-42.870875
14.169,31.2198780487805,-42.7801219512195,-42.7801219512195,-42.7801219512195
14.914,31.61375,-42.38625,-42.38625,-42.38625
15.66,30.2591358024691,-43.7408641975309,-43.7408641975309,-43.7408641975309
16.406,30.1242105263158,-43.8757894736842,-43.8757894736842,-43.8757894736842
17.151,29.2209210526316,-44.7790789473684,-44.7790789473684,-44.7790789473684
17.897,29.4364197530864,-44.5635802469136,-44.5635802469136,-44.5635802469136
18.643,29.7007228915663,-44.2992771084337,-44.2992771084337,-44.2992771084337
19.389,29.1668421052632,-44.8331578947368,-44.8331578947368,-44.8331578947368
20.134,29.18575,-44.81425,-44.81425,-44.81425
20.88,29.3696341463415,-44.6303658536585,-44.6303658536585,-44.6303658536585
21.626,29.7753012048193,-44.2246987951807,-44.2246987951807,-44.2246987951807
