dir,snr,rx_f28,rx_f60,rx_f73
0,29.4374117647059,-44.5625882352941,-44.5625882352941,-44.5625882352941
0.746,27.9805263157895,-46.0194736842105,-46.0194736842105,-46.0194736842105
1.491,26.1297368421053,-47.8702631578947,-47.8702631578947,-47.8702631578947
2.237,26.0653658536585,-47.9346341463415,-47.9346341463415,-47.9346341463415
2.983,24.58025,-49.41975,-49.41975,-49.41975
3.729,23.4631325301205,-50.5368674698795,-50.5368674698795,-50.5368674698795
4.474,21.8489156626506,-52.1510843373494,-52.1510843373494,-52.1510843373494
5.22,19.5213253012048,-54.4786746987952,-54.4786746987952,-54.4786746987952
5.966,17.660243902439,-56.339756097561,-56.339756097561,-56.339756097561
6.711,20.51325,-53.48675,-53.48675,-53.48675
7.457,22.3846428571429,-51.6153571428571,-51.6153571428571,-51.6153571428571
8.203,24.3080722891566,-49.6919277108434,-49.6919277108434,-49.6919277108434
8.949,26.1919696969697,-47.8080303030303,-47.8080303030303,-47.8080303030303
9.694,28.0785365853659,-45.9214634146341,-45.9214634146341,-45.9214634146341
10.44,28.0479268292683,-45.9520731707317,-45.9520731707317,-45.9520731707317
11.186,30.9060493827161,-43.0939506172839,-43.0939506172839,-43.0939506172839
11.931,31.5356790123457,-42.4643209876543,-42.4643209876543,-42.4643209876543
12.677,31.271686746988,-42.728313253012,-42.728313253012,-42.728313253012
13.423,31.8945,-42.1055,-42.1055,-42.1055
14.169,32.5814634146342,-41.4185365853658,-41.4185365853658,-41.4185365853658
14.914,33.55725,-40.44275,-40.44275,-40.44275
15.66,32.8877777777778,-41.1122222222222,-41.1122222222222,-41.1122222222222
16.406,33.3363157894737,-40.6636842105263,-40.6636842105263,-40.6636842105263
17.151,33.1617105263158,-40.8382894736842,-40.8382894736842,-40.8382894736842
17.897,33.4941975308642,-40.5058024691358,-40.5058024691358,-40.5058024691358
18.643,33.8278313253012,-40.1721686746988,-40.1721686746988,-40.1721686746988
19.389,33.9168421052632,-40.0831578947368,-40.0831578947368,-40.0831578947368
20.134,33.7715,-40.2285,-40.2285,-40.2285
20.88,34.195243902439,-39.804756097561,-39.804756097561,-39.804756097561
21.626,33.8565060240964,-40.1434939759036,-40.1434939759036,-40.1434939759036
22.371,33.4472289156627,-40.5527710843373,-40.5527710843373,-40.5527710843373
23.117,32.8034666666667,-41.1965333333333,-41.1965333333333,-41.1965333333333
23.863,33.2237804878049,-40.7762195121951,-40.7762195121951,-40.7762195121951
24.609,32.9519318181818,-41.0480681818182,-41.0480681818182,-41.0480681818182
25.354,32.1159036144578,-41.8840963855422,-41.8840963855422,-41.8840963855422
26.1,32.00975,-41.99025,-41.99025,-41.99025
26.846,30.8849397590362,-43.1150602409638,-43.1150602409638,-43.1150602409638
27.591,32.6233734939759,-41.3766265060241,-41.3766265060241,-41.3766265060241
28.337,29.8761445783133,-44.1238554216867,-44.1238554216867,-44.1238554216867
29.083,29.47625,-44.52375,-44.52375,-44.52375
29.829,29.8841860465116,-44.1158139534884,-44.1158139534884,-44.1158139534884
30.574,29.2885185185185,-44.7114814814815,-44.7114814814815,-44.7114814814815
31.32,28.3715189873418,-45.6284810126582,-45.6284810126582,-45.6284810126582
32.066,27.1108108108108,-46.8891891891892,-46.8891891891892,-46.8891891891892
32.811,27.255243902439,-46.744756097561,-46.744756097561,-46.744756097561
33.557,26.3380722891566,-47.6619277108434,-47.6619277108434,-47.6619277108434
34.303,25.5325609756098,-48.4674390243902,-48.4674390243902,-48.4674390243902
35.049,24.5879012345679,-49.4120987654321,-49.4120987654321,-49.4120987654321
35.794,23.404705882353,-50.595294117647,-50.595294117647,-50.595294117647
36.54,22.9348780487805,-51.0651219512195,-51.0651219512195,-51.0651219512195
37.286,21.4389156626506,-52.5610843373494,-52.5610843373494,-52.5610843373494
38.031,22.3729761904762,-51.6270238095238,-51.6270238095238,-51.6270238095238
38.777,21.4237647058824,-52.5762352941176,-52.5762352941176,-52.5762352941176
39.523,20.594,-53.406,-53.406,-53.406
40.269,20.9926829268293,-53.0073170731707,-53.0073170731707,-53.0073170731707
41.014,21.4392207792208,-52.5607792207792,-52.5607792207792,-52.5607792207792
41.76,22.70575,-51.29425,-51.29425,-51.29425
42.506,23.470243902439,-50.529756097561,-50.529756097561,-50.529756097561
43.251,24.0635802469136,-49.9364197530864,-49.9364197530864,-49.9364197530864
43.997,24.6589285714286,-49.3410714285714,-49.3410714285714,-49.3410714285714
44.743,26.4840740740741,-47.5159259259259,-47.5159259259259,-47.5159259259259
45.489,27.2792771084338,-46.7207228915662,-46.7207228915662,-46.7207228915662
46.234,27.2169047619048,-46.7830952380952,-46.7830952380952,-46.7830952380952
46.98,28.8150602409639,-45.1849397590361,-45.1849397590361,-45.1849397590361
47.726,28.930243902439,-45.069756097561,-45.069756097561,-45.069756097561
48.471,29.9935714285714,-44.0064285714286,-44.0064285714286,-44.0064285714286
49.217,30.4713095238095,-43.5286904761905,-43.5286904761905,-43.5286904761905
49.963,30.3643902439025,-43.6356097560975,-43.6356097560975,-43.6356097560975
50.709,30.4282926829269,-43.5717073170731,-43.5717073170731,-43.5717073170731
51.454,30.5061728395062,-43.4938271604938,-43.4938271604938,-43.4938271604938
52.2,31.4921590909091,-42.5078409090909,-42.5078409090909,-42.5078409090909
52.946,31.3890361445783,-42.6109638554217,-42.6109638554217,-42.6109638554217
53.691,32.4264935064935,-41.5735064935065,-41.5735064935065,-41.5735064935065
54.437,29.760375,-44.239625,-44.239625,-44.239625
55.183,31.1402564102564,-42.8597435897436,-42.8597435897436,-42.8597435897436
55.929,30.332375,-43.667625,-43.667625,-43.667625
56.674,31.0026666666667,-42.9973333333333,-42.9973333333333,-42.9973333333333
57.42,31.7294666666667,-42.2705333333333,-42.2705333333333,-42.2705333333333
58.166,30.05625,-43.94375,-43.94375,-43.94375
58.911,29.3659523809524,-44.6340476190476,-44.6340476190476,-44.6340476190476
59.657,29.0008139534884,-44.9991860465116,-44.9991860465116,-44.9991860465116
60.403,29.5215662650603,-44.4784337349397,-44.4784337349397,-44.4784337349397
61.149,29.6648192771084,-44.3351807228916,-44.3351807228916,-44.3351807228916
61.894,28.72,-45.28,-45.28,-45.28
62.64,27.6752054794521,-46.3247945205479,-46.3247945205479,-46.3247945205479
63.386,28.4014457831326,-45.5985542168674,-45.5985542168674,-45.5985542168674
64.131,26.866265060241,-47.133734939759,-47.133734939759,-47.133734939759
64.877,27.1617808219178,-46.8382191780822,-46.8382191780822,-46.8382191780822
65.623,26.7565060240964,-47.2434939759036,-47.2434939759036,-47.2434939759036
66.369,26.92,-47.08,-47.08,-47.08
67.114,26.6858441558442,-47.3141558441558,-47.3141558441558,-47.3141558441558
67.86,27.0072727272727,-46.9927272727273,-46.9927272727273,-46.9927272727273
68.606,27.3909638554217,-46.6090361445783,-46.6090361445783,-46.6090361445783
69.351,27.3562666666667,-46.6437333333333,-46.6437333333333,-46.6437333333333
70.097,28.7005405405406,-45.2994594594594,-45.2994594594594,-45.2994594594594
70.843,28.8059677419355,-45.1940322580645,-45.1940322580645,-45.1940322580645
71.589,28.0146575342466,-45.9853424657534,-45.9853424657534,-45.9853424657534
72.334,29.9823611111111,-44.0176388888889,-44.0176388888889,-44.0176388888889
73.08,29.3755714285714,-44.6244285714286,-44.6244285714286,-44.6244285714286
73.826,29.3497402597403,-44.6502597402597,-44.6502597402597,-44.6502597402597
74.571,29.2676,-44.7324,-44.7324,-44.7324
75.317,29.793552631579,-44.206447368421,-44.206447368421,-44.206447368421
76.063,30.862875,-43.137125,-43.137125,-43.137125
76.809,30.0493846153846,-43.9506153846154,-43.9506153846154,-43.9506153846154
77.554,29.1827142857143,-44.8172857142857,-44.8172857142857,-44.8172857142857
78.3,30.3182894736842,-43.6817105263158,-43.6817105263158,-43.6817105263158
79.046,29.9266233766234,-44.0733766233766,-44.0733766233766,-44.0733766233766
79.791,30.291052631579,-43.708947368421,-43.708947368421,-43.708947368421
